日期,代码,名称,收盘价,涨跌幅,开盘价,最高价,最低价,趋势,热度,热度排名,大单净额,量比,换手率,成交额,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-19,600196.SH,复星医药,24.16,0.41562759767249136,24.02,24.24,23.99,开,0,0,0,0,9656.0,3.99亿,511.83万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300247.SZ,融捷健康,4.88,0.41152263374484715,4.88,4.92,4.83,开,0,0,0,0,6147.0,12.58亿,39.19万,0,0,0,价升,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600051.SH,宁波联合,7.51,0.401069518716569,7.49,7.55,7.43,开,0,0,0,0,1183.0,1.57亿,23.35万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,601016.SH,节能风电,5.01,0.4008016032064043,4.93,5.07,4.82,开,0,0,0,0,94642.0,190.57亿,302.51万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002016.SZ,世荣兆业,5.01,0.4008016032064043,4.99,5.05,4.97,开,0,0,0,0,1148.0,2.29亿,40.54万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600177.SH,雅戈尔,7.53,0.4000000000000033,7.49,7.58,7.49,开,0,0,0,0,3178.0,4.21亿,339.11万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603151.SH,邦基科技,15.07,0.39973351099267485,14.95,15.25,14.95,开,0,0,0,0,1189.0,7856.00万,25.79万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300146.SZ,汤臣倍健,10.1,0.3976143141152997,10.13,10.16,10.09,开,0,0,0,0,3261.0,3.22亿,113.19万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603023.SH,威帝股份,5.07,0.3960396039604052,5.11,5.37,5.05,开,0,0,0,0,5726.0,11.12亿,28.30万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603035.SH,常熟汽饰,12.99,0.38639876352396224,12.98,13.07,12.92,开,0,0,0,0,1554.0,1.19亿,47.59万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600273.SH,嘉化能源,7.85,0.38363171355497905,7.83,7.9,7.82,开,0,0,0,0,2950.0,3.75亿,102.94万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603210.SH,泰鸿万立,15.71,0.38338658146965177,15.61,15.78,15.58,开,0,0,0,0,1129.0,7187.00万,36.55万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,605179.SH,一鸣食品,16.03,0.3757044458359455,16.0,16.19,16.0,开,0,0,0,0,937.0,5825.00万,64.28万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603101.SH,汇嘉时代,8.07,0.37313432835822313,8.0,8.12,8.0,开,0,0,0,0,3189.0,3.95亿,37.96万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,000008.SZ,神州高铁,2.69,0.373134328358201,2.68,2.71,2.67,开,0,0,0,0,2920.0,10.83亿,73.07万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603213.SH,镇洋发展,13.53,0.3709198813056301,13.52,13.54,13.45,开,0,0,0,0,871.0,6458.00万,59.80万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002252.SZ,上海莱士,5.42,0.37037037037036247,5.4,5.44,5.39,开,0,0,0,0,3326.0,6.14亿,359.55万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603109.SH,神驰机电,21.79,0.36849378166742647,21.98,22.08,21.71,开,0,0,0,0,1450.0,6634.00万,45.51万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,000001.SZ,平安银行,10.9,0.3683241252302111,10.83,10.92,10.83,开,0,0,0,0,26840.0,24.64亿,2115.21万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,605162.SH,新中港,11.05,0.3633060853769385,10.97,11.07,10.9,开,0,0,0,0,4174.0,3.80亿,45.91万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,000158.SZ,常山北明,16.64,0.3618817852834878,16.58,16.78,16.39,开,0,0,0,0,13537.0,8.14亿,264.23万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,688139.SH,海尔生物,33.37,0.36090225563909006,33.26,34.04,33.26,开,0,0,0,0,5046.0,149.88亿,105.61万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300039.SZ,上海凯宝,5.58,0.3597122302158357,5.56,5.6,5.56,开,0,0,0,0,1122.0,2.01亿,51.16万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002239.SZ,奥特佳,2.81,0.3571428571428654,2.8,2.85,2.79,开,0,0,0,0,4166.0,14.77亿,75.37万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,002223.SZ,鱼跃医疗,28.18,0.3561253561253612,27.98,28.4,27.95,开,0,0,0,0,8984.0,3.18亿,265.54万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,000036.SZ,华联控股,5.64,0.35587188612098886,5.62,5.67,5.58,开,0,0,0,0,7236.0,12.85亿,79.13万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600017.SH,日照港,2.83,0.35460992907802236,2.82,2.85,2.81,开,0,0,0,0,3676.0,12.98亿,87.04万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,605268.SH,王力安防,11.48,0.34965034965035774,11.49,11.56,11.32,开,0,0,0,0,2284.0,2.00亿,50.58万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,300193.SZ,佳士科技,8.63,0.3488372093023388,8.56,8.67,8.55,开,0,0,0,0,2133.0,2.47亿,36.19万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603289.SH,泰瑞机器,11.55,0.34752389226760144,11.49,11.76,11.4,开,0,0,0,0,5193.0,4.47亿,33.89万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600192.SH,长城电工,8.71,0.3456221198156813,8.74,8.82,8.58,开,0,0,0,0,2850.0,3.27亿,38.48万,0,0,0,价升||阴线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,600129.SH,太极集团,14.62,0.34317089910774834,14.47,14.7,14.47,开,0,0,0,0,3727.0,2.55亿,80.62万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,605122.SH,四方新材,14.69,0.34153005464480146,14.69,14.78,14.36,开,0,0,0,0,1356.0,9258.00万,25.32万,0,0,0,价升,行情收盘价上穿5日,未分类,未分类,0
2026-05-19,603193.SH,润本股份,23.59,0.34028073160356564,23.54,23.86,23.52,开,0,0,0,0,1846.0,7800.00万,24.38万,0,0,0,价升||阳线,行情收盘价上穿5日,未分类,未分类,0
