代码,名称,收盘价,涨跌幅,技术形态,买入信号,MA5,MA10,MA20,MA60,布林带上轨,布林线中轨,布林线下轨,布林带位置,MACD_DIF,MACD_DEA,MACD柱,MACD信号,多头排列
300005.SZ,探路者,16.5,3.45%,阳线||多头排列||MA5上穿MA10,多头排列,190.8,188.39,185.57,173.15,203.65,185.57,167.49,布林带内,5.1,4.51,1.17,无信号,是
300007.SZ,汉威科技,50.81,0.26%,阳线||MA5上穿MA10,观望,203.51,195.06,186.39,186.68,211.08,186.39,161.71,布林带内,6.19,3.15,6.08,无信号,否
300008.SZ,天海防务,7.03,0.57%,阳线,观望,81.59,84.44,87.21,90.57,95.2,87.21,79.22,布林带内,-2.08,-1.14,-1.87,无信号,否
300010.SZ,ST豆神,2.95,2.43%,阳线,观望,16.39,16.93,22.15,31.23,35.36,22.15,8.94,布林带内,-4.47,-4.28,-0.38,无信号,否
300011.SZ,鼎汉技术,6.9,1.47%,阳线,观望,59.25,59.95,61.03,66.75,64.17,61.03,57.9,布林带内,-1.66,-1.56,-0.2,无信号,否
300012.SZ,华测检测,15.07,0.47%,价升,观望,,,,,,,,,,,,,
300014.SZ,亿纬锂能,64.38,0.67%,价升,观望,,,,,,,,,,,,,
300016.SZ,北陆药业,8.66,1.29%,阳线||布林带下轨,观望,64.49,66.18,67.8,71.92,72.91,67.8,62.69,下轨下方,-2.21,-1.68,-1.06,无信号,否
300017.SZ,网宿科技,17.23,2.38%,阳线,观望,421.07,428.37,419.17,425.74,466.75,419.17,371.59,布林带内,-1.2,0.1,-2.6,死叉,否
300018.SZ,中元股份,14.97,3.17%,阳线||多头排列||MA5上穿MA10,多头排列,96.88,94.49,92.13,85.89,100.87,92.13,83.39,布林带内,3.1,2.72,0.75,无信号,是
300019.SZ,硅宝科技,18.19,1.96%,阳线,观望,,,,,,,,,,,,,
300020.SZ,ST银江,3.34,1.83%,阳线||布林带下轨,观望,24.39,24.78,25.25,28.71,27.1,25.25,23.4,下轨下方,-0.96,-0.92,-0.08,死叉,否
300022.SZ,吉峰科技,8.51,1.31%,阳线,观望,35.11,35.55,37.44,36.78,41.62,37.44,33.26,布林带内,-0.97,-0.53,-0.87,无信号,否
300027.SZ,ST华谊,1.87,2.19%,阳线||布林带下轨,观望,31.14,32.08,31.94,30.14,34.74,31.94,29.15,下轨下方,0.16,0.62,-0.91,无信号,否
300030.SZ,阳普医疗,7.77,1.17%,价升||布林带下轨,观望,32.69,33.52,33.72,33.16,35.62,33.72,31.82,下轨下方,-0.09,0.22,-0.62,无信号,否
300032.SZ,金龙机电,4.91,0.82%,价升,观望,21.69,22.12,22.9,24.35,25.09,22.9,20.7,布林带内,-0.87,-0.7,-0.33,无信号,否
300034.SZ,钢研高纳,20.02,2.77%,阳线||布林带下轨,观望,107.79,114.62,115.86,116.72,136.79,115.86,94.93,下轨下方,-2.88,0.47,-6.69,无信号,否
300035.SZ,中科电气,19.41,0.36%,阳线,观望,157.36,159.43,171.77,174.68,204.25,171.77,139.29,布林带内,-6.42,-5.23,-2.38,无信号,否
300036.SZ,超图软件,14.29,0.28%,价升,观望,78.02,79.47,81.09,85.37,87.3,81.09,74.89,布林带内,-1.97,-1.51,-0.91,无信号,否
300037.SZ,新宙邦,72.92,9.60%,阳线,观望,,,,,,,,,,,,,
300039.SZ,上海凯宝,5.59,0.54%,阳线||布林带下轨,观望,67.65,68.82,69.76,72.52,73.98,69.76,65.55,下轨下方,-1.44,-0.91,-1.05,无信号,否
300040.SZ,九洲集团,7.29,3.26%,阳线||布林带下轨,观望,42.74,44.7,44.89,45.79,51.92,44.89,37.86,下轨下方,-0.99,0.03,-2.04,无信号,否
300041.SZ,回天新材,12.58,2.44%,阳线||布林带下轨,观望,89.24,90.35,88.93,87.31,98.03,88.93,79.82,下轨下方,0.54,1.46,-1.84,死叉,否
300042.SZ,朗科科技,68.04,0.40%,价升,观望,202.31,203.05,183.9,150.72,243.19,183.9,124.61,布林带内,12.49,16.01,-7.04,死叉,否
300043.SZ,星辉娱乐,5.04,0.20%,价升||布林带下轨,观望,110.02,113.62,118.78,119.76,132.19,118.78,105.37,下轨下方,-3.24,-1.46,-3.57,无信号,否
300044.SZ,*ST赛为,6.33,1.28%,阳线,观望,48.32,50.3,49.88,55.01,54.2,49.88,45.56,布林带内,-1.52,-1.53,0.02,无信号,否
300045.SZ,华力创通,22.45,1.17%,阳线,观望,189.11,192.13,187.13,188.88,204.47,187.13,169.79,布林带内,1.14,1.83,-1.38,无信号,否
300046.SZ,台基股份,33.67,2.97%,阳线||多头排列||布林带上轨||MA5上穿MA10,多头排列,134.91,132.96,128.73,126.73,140.45,128.73,117.02,上轨上方,3.23,2.14,2.19,无信号,是
300048.SZ,合康新能,5.9,1.55%,阳线,观望,49.63,50.64,52.04,56.92,56.24,52.04,47.83,布林带内,-1.76,-1.5,-0.51,无信号,否
300050.SZ,世纪鼎利,7.35,3.81%,阳线,观望,64.77,65.29,63.17,58.76,69.16,63.17,57.18,布林带内,1.19,1.66,-0.94,无信号,否
300052.SZ,中青宝,15.29,2.07%,阳线||多头排列||MA5上穿MA10,多头排列,40.63,40.1,37.13,36.01,44.66,37.13,29.6,布林带内,1.6,1.27,0.67,无信号,是
300053.SZ,航宇微,17.75,1.60%,阳线,观望,93.4,96.47,94.51,92.36,105.28,94.51,83.73,布林带内,0.47,1.4,-1.86,无信号,否
300054.SZ,鼎龙股份,73.0,0.03%,价升||多头排列||MA5上穿MA10,多头排列,919.99,883.03,810.62,660.17,991.42,810.62,629.81,布林带内,72.91,65.65,14.51,无信号,是
300055.SZ,万邦达,10.1,4.12%,阳线,观望,79.98,84.28,88.54,87.59,100.24,88.54,76.84,布林带内,-2.98,-1.52,-2.92,无信号,否
300056.SZ,中创环保,10.88,2.54%,阳线,观望,64.69,66.54,64.56,58.4,74.39,64.56,54.74,布林带内,2.18,2.87,-1.39,无信号,否
300057.SZ,万顺新材,9.0,5.88%,阳线,观望,21.81,22.4,22.72,19.05,26.78,22.72,18.67,布林带内,0.54,1.1,-1.13,无信号,否
300065.SZ,海兰信,24.71,5.37%,阳线||布林带下轨,观望,197.69,205.49,213.79,218.54,250.44,213.79,177.15,下轨下方,-8.41,-2.69,-11.44,无信号,否
300067.SZ,安诺其,6.71,4.03%,阳线||布林带下轨,观望,51.15,53.81,54.86,44.89,64.29,54.86,45.43,下轨下方,1.66,3.46,-3.61,无信号,否
300069.SZ,金利华电,52.87,20.00%,价升||多头排列||布林带上轨||MA5上穿MA10,多头排列,76.46,63.27,54.18,44.0,86.94,54.18,21.43,上轨上方,10.69,5.36,10.65,无信号,是
300072.SZ,海新能科,4.13,1.47%,阳线||布林带下轨,观望,90.3,92.46,95.05,104.83,103.04,95.05,87.05,下轨下方,-3.89,-3.18,-1.42,无信号,否
300073.SZ,当升科技,60.03,2.63%,阳线,观望,244.99,248.72,253.94,237.17,272.99,253.94,234.9,布林带内,1.18,3.75,-5.14,无信号,否
300074.SZ,华平股份,4.54,2.71%,阳线||MA5上穿MA10,观望,61.93,61.58,59.61,60.11,65.47,59.61,53.75,布林带内,0.97,0.79,0.37,无信号,否
300076.SZ,*ST宁视,5.19,2.37%,阳线||MA5上穿MA10,观望,42.3,41.74,40.96,51.2,43.73,40.96,38.19,布林带内,-1.59,-2.46,1.74,无信号,否
300077.SZ,国民技术,26.31,0.96%,阳线||多头排列||MA5上穿MA10,多头排列,138.63,133.45,126.27,114.82,145.1,126.27,107.45,布林带内,6.66,5.87,1.58,无信号,是
300078.SZ,思创智联,3.69,0.82%,价升||布林带下轨,观望,49.79,50.99,51.34,54.12,54.72,51.34,47.97,下轨下方,-1.13,-0.76,-0.74,无信号,否
300079.SZ,数码视讯,5.74,1.41%,阳线,观望,72.02,72.62,71.39,70.72,74.87,71.39,67.91,布林带内,0.67,0.73,-0.12,无信号,否
300080.SZ,易成新能,4.26,2.40%,阳线||布林带下轨,观望,12.06,12.33,12.29,13.71,13.31,12.29,11.27,下轨下方,-0.34,-0.3,-0.08,死叉,否
300082.SZ,奥克股份,10.73,3.77%,阳线,观望,78.62,81.9,86.29,81.09,98.13,86.29,74.44,布林带内,-1.54,0.2,-3.48,无信号,否
300083.SZ,创世纪,10.94,0.74%,阳线||多头排列||MA5上穿MA10,多头排列,91.51,88.82,81.16,70.58,101.45,81.16,60.87,布林带内,6.49,5.99,1.0,无信号,是
300084.SZ,海默科技,12.97,2.94%,阳线,观望,57.28,57.81,54.78,51.52,61.55,54.78,48.01,布林带内,2.15,2.07,0.16,无信号,否
300086.SZ,康芝药业,7.01,1.01%,阳线,观望,35.16,36.15,35.87,39.48,38.46,35.87,33.28,布林带内,-0.99,-0.88,-0.22,死叉,否
300087.SZ,荃银高科,7.55,1.34%,阳线||布林带下轨,观望,118.87,131.0,136.25,142.51,172.8,136.25,99.69,下轨下方,-7.94,-2.1,-11.68,无信号,否
300088.SZ,长信科技,7.19,1.41%,价升,观望,123.76,125.71,124.4,118.39,132.64,124.4,116.15,布林带内,1.32,2.27,-1.89,无信号,否
300091.SZ,*ST金灵,2.94,0.34%,价升||布林带下轨,观望,40.27,41.28,43.0,41.93,47.92,43.0,38.09,下轨下方,-0.89,-0.17,-1.42,无信号,否
300092.SZ,科新机电,15.52,2.24%,阳线,观望,,,,,,,,,,,,,
300093.SZ,*ST金刚,21.1,0.86%,阳线||布林带下轨,观望,42.37,43.76,44.88,40.35,49.02,44.88,40.75,下轨下方,0.09,0.95,-1.73,无信号,否
300094.SZ,国联水产,2.99,0.34%,价升,观望,7.58,7.7,7.71,8.2,8.16,7.71,7.27,布林带内,-0.13,-0.11,-0.05,无信号,否
300095.SZ,华伍股份,10.18,2.00%,阳线,观望,42.82,44.19,42.45,42.06,47.55,42.45,37.36,布林带内,0.53,0.79,-0.52,无信号,否
300096.SZ,ST易联众,9.24,1.09%,价升,观望,47.53,48.01,48.26,44.73,51.33,48.26,45.2,布林带内,0.45,0.87,-0.84,无信号,否
300097.SZ,智云股份,10.48,5.12%,阳线,观望,38.25,39.01,39.41,33.67,42.86,39.41,35.96,布林带内,0.99,1.64,-1.3,无信号,否
300098.SZ,高新兴,5.82,1.57%,阳线,观望,89.8,90.85,87.08,85.61,97.25,87.08,76.92,布林带内,1.81,1.83,-0.03,死叉,否
300099.SZ,尤洛卡,8.38,1.82%,阳线,观望,,,,,,,,,,,,,
300101.SZ,振芯科技,19.26,0.31%,阳线,观望,161.77,165.55,170.02,178.72,188.66,170.02,151.38,布林带内,-4.27,-3.1,-2.32,无信号,否
300102.SZ,乾照光电,27.16,1.31%,阳线,观望,,,,,,,,,,,,,
300105.SZ,龙源技术,6.74,3.69%,阳线||布林带下轨,观望,43.84,44.65,45.0,47.13,47.91,45.0,42.09,下轨下方,-0.73,-0.38,-0.69,无信号,否
300106.SZ,西部牧业,13.88,2.44%,阳线||多头排列||MA5上穿MA10,多头排列,21.83,21.63,19.48,16.82,24.89,19.48,14.07,布林带内,1.64,1.58,0.13,无信号,是
300107.SZ,建新股份,7.0,0.29%,阳线||布林带下轨,观望,68.55,69.66,70.17,72.52,76.63,70.17,63.71,下轨下方,-1.01,-0.25,-1.52,死叉,否
300109.SZ,新开源,18.16,3.65%,阳线||布林带下轨,观望,116.63,126.06,129.24,127.82,154.76,129.24,103.72,下轨下方,-4.39,0.12,-9.02,无信号,否
300110.SZ,华仁药业,2.9,0.69%,价升||MACD金叉,MACD金叉,14.36,14.47,14.67,15.24,15.54,14.67,13.8,布林带内,-0.23,-0.25,0.05,金叉,否
300111.SZ,向日葵,3.62,0.56%,价升||布林带下轨,观望,8.6,8.94,8.96,9.4,9.63,8.96,8.28,下轨下方,-0.19,-0.1,-0.17,无信号,否
300112.SZ,万讯自控,8.12,0.12%,阳线||布林带下轨,观望,32.18,32.74,32.63,32.66,34.99,32.63,30.27,下轨下方,-0.13,0.19,-0.65,无信号,否
300113.SZ,顺网科技,25.66,1.99%,阳线,观望,302.44,313.48,313.06,315.42,345.35,313.06,280.77,布林带内,-4.55,-1.53,-6.05,无信号,否
300115.SZ,长盈精密,37.85,0.56%,阳线,观望,433.4,433.43,414.54,406.94,468.55,414.54,360.53,布林带内,8.03,9.27,-2.49,死叉,否
300118.SZ,东方日升,16.88,0.96%,价升,观望,59.78,62.42,60.57,61.43,68.44,60.57,52.7,布林带内,0.07,0.65,-1.16,无信号,否
300120.SZ,经纬辉开,7.13,1.57%,阳线||布林带下轨,观望,24.08,24.6,24.78,26.16,26.18,24.78,23.38,下轨下方,-0.44,-0.31,-0.25,无信号,否
300121.SZ,阳谷华泰,12.54,3.12%,阳线,观望,,,,,,,,,,,,,
300123.SZ,ST亚光,4.63,0.87%,阳线||布林带下轨,观望,26.26,28.38,26.78,36.36,34.29,26.78,19.28,下轨下方,-2.49,-2.17,-0.65,死叉,否
300124.SZ,汇川技术,78.99,1.57%,阳线||布林带下轨,观望,1639.22,1673.69,1604.41,1570.0,1885.63,1604.41,1323.18,下轨下方,17.98,38.32,-40.68,死叉,否
300125.SZ,*ST聆达,10.64,4.01%,阳线||布林带下轨,观望,53.94,57.26,56.37,52.48,68.76,56.37,43.99,下轨下方,-0.25,1.59,-3.69,无信号,否
300126.SZ,锐奇股份,7.71,2.12%,阳线,观望,30.14,30.51,30.37,30.98,32.02,30.37,28.71,布林带内,-0.1,0.02,-0.23,无信号,否
300127.SZ,银河磁体,31.43,2.95%,阳线,观望,71.76,72.72,71.76,73.01,75.91,71.76,67.62,布林带内,0.24,0.33,-0.19,无信号,否
300128.SZ,锦富技术,8.08,3.06%,阳线||多头排列||MA5上穿MA10,多头排列,78.71,75.47,69.11,65.55,83.89,69.11,54.34,布林带内,4.53,3.33,2.39,无信号,是
300129.SZ,泰胜风能,11.09,1.19%,价升,观望,65.65,68.0,67.35,73.18,74.5,67.35,60.21,布林带内,-1.67,-1.37,-0.6,无信号,否
300130.SZ,新国都,24.34,3.09%,阳线||MA5上穿MA10,观望,164.97,164.13,164.12,170.63,171.24,164.12,156.99,布林带内,-0.8,-1.62,1.64,无信号,否
300133.SZ,华策影视,9.43,7.40%,阳线,观望,237.43,243.96,235.79,210.35,266.12,235.79,205.47,布林带内,8.6,10.73,-4.25,无信号,否
300134.SZ,大富科技,11.17,2.10%,阳线||布林带下轨,观望,51.22,52.09,51.6,50.47,54.72,51.6,48.48,下轨下方,0.18,0.59,-0.82,无信号,否
300135.SZ,宝利国际,3.75,3.02%,阳线,观望,46.27,47.34,47.75,49.64,50.94,47.75,44.57,布林带内,-0.56,-0.28,-0.58,无信号,否
300136.SZ,信维通信,118.98,8.66%,阳线,观望,,,,,,,,,,,,,
300137.SZ,先河环保,20.0,0.65%,价升||多头排列||MA5上穿MA10,多头排列,88.56,86.49,81.98,66.13,94.2,81.98,69.75,布林带内,6.02,6.07,-0.11,死叉,是
300139.SZ,晓程科技,47.22,1.83%,阳线,观望,245.01,260.05,269.48,299.1,309.62,269.48,229.33,布林带内,-12.17,-8.48,-7.38,无信号,否
300140.SZ,节能环境,6.37,1.27%,阳线||布林带下轨,观望,28.47,28.74,28.78,30.22,30.26,28.78,27.3,下轨下方,-0.3,-0.18,-0.24,死叉,否
300141.SZ,和顺电气,12.49,3.22%,阳线,观望,59.17,60.09,60.23,63.64,63.43,60.23,57.03,布林带内,-0.96,-0.79,-0.35,无信号,否
300142.SZ,沃森生物,13.78,0.29%,价升,观望,199.9,207.92,194.87,181.98,227.44,194.87,162.29,布林带内,5.78,6.74,-1.93,无信号,否
300143.SZ,盈康生命,10.76,0.28%,价升,观望,46.18,47.37,47.73,50.03,49.99,47.73,45.46,布林带内,-1.13,-0.95,-0.37,无信号,否
300145.SZ,南方泵业,5.07,2.63%,阳线||多头排列||MA5上穿MA10,多头排列,99.28,99.16,97.5,94.94,102.42,97.5,92.59,布林带内,1.36,1.5,-0.29,无信号,是
300147.SZ,*ST香雪,10.09,0.80%,阳线||MACD金叉||布林带上轨,MACD金叉,45.72,46.54,45.37,42.86,50.91,45.37,39.84,上轨上方,1.04,0.87,0.34,金叉,否
300148.SZ,天舟文化,3.81,1.87%,阳线||布林带下轨,观望,23.27,24.08,24.6,26.02,26.61,24.6,22.6,下轨下方,-0.77,-0.55,-0.44,无信号,否
300150.SZ,世纪瑞尔,4.85,2.75%,阳线||布林带下轨,观望,23.75,24.13,24.59,25.91,26.37,24.59,22.81,下轨下方,-0.64,-0.47,-0.35,无信号,否
300151.SZ,昌红科技,21.65,6.39%,阳线,观望,,,,,,,,,,,,,
300153.SZ,科泰电源,29.69,3.67%,阳线,观望,126.96,128.24,124.52,125.69,138.19,124.52,110.84,布林带内,2.16,2.37,-0.42,无信号,否
300154.SZ,瑞凌股份,11.07,1.65%,阳线||多头排列||MA5上穿MA10,多头排列,53.64,53.25,48.99,45.12,59.19,48.99,38.79,布林带内,2.8,2.63,0.34,无信号,是
300155.SZ,安居宝,5.05,2.85%,阳线,观望,42.26,42.87,41.87,41.56,45.29,41.87,38.44,布林带内,0.41,0.58,-0.34,无信号,否
300157.SZ,新锦动力,5.05,1.61%,阳线,观望,32.61,33.39,34.91,40.84,38.88,34.91,30.93,布林带内,-1.99,-1.77,-0.43,无信号,否
300158.SZ,振东制药,5.48,1.11%,阳线||布林带下轨,观望,33.85,35.55,36.51,37.67,42.62,36.51,30.4,下轨下方,-1.49,-0.58,-1.82,无信号,否
300159.SZ,*ST新研,4.16,1.71%,阳线,观望,87.8,88.91,82.49,73.5,97.76,82.49,67.22,布林带内,4.04,4.65,-1.22,死叉,否
300161.SZ,华中数控,37.83,2.19%,阳线,观望,57.24,57.91,53.42,48.01,66.52,53.42,40.32,布林带内,3.32,3.3,0.05,无信号,否
300163.SZ,先锋新材,5.64,0.71%,价升||MA5上穿MA10,观望,34.49,31.77,30.34,30.49,35.88,30.34,24.81,布林带内,1.26,0.42,1.67,无信号,否
300164.SZ,通源石油,11.77,0.60%,阳线||MA5上穿MA10,观望,75.26,75.22,77.16,93.7,83.72,77.16,70.59,布林带内,-3.86,-3.96,0.19,无信号,否
300165.SZ,天瑞仪器,6.74,2.90%,阳线,观望,45.84,47.98,47.66,40.73,56.31,47.66,39.0,布林带内,1.46,2.51,-2.1,无信号,否
300166.SZ,东方国信,19.17,2.95%,阳线||多头排列||MA5上穿MA10,多头排列,364.89,358.63,334.48,288.94,401.02,334.48,267.94,布林带内,19.32,19.14,0.37,无信号,是
300167.SZ,ST迪威迅,5.55,4.32%,阳线,观望,39.51,41.03,41.81,42.35,46.9,41.81,36.72,布林带内,-0.83,-0.37,-0.92,无信号,否
300168.SZ,万达信息,5.64,0.89%,价升,观望,47.8,48.41,47.7,48.63,51.24,47.7,44.17,布林带内,-0.0,0.14,-0.29,无信号,否
300169.SZ,天晟新材,6.2,2.99%,阳线,观望,19.59,19.92,19.78,19.88,21.27,19.78,18.28,布林带内,0.02,0.13,-0.22,无信号,否
300170.SZ,汉得信息,20.3,1.05%,阳线,观望,,,,,,,,,,,,,
300172.SZ,中电环保,5.05,2.43%,阳线,观望,,,,,,,,,,,,,
300173.SZ,ST福能,3.91,0.51%,阳线,观望,21.39,21.63,22.23,23.36,23.69,22.23,20.77,布林带内,-0.56,-0.44,-0.23,无信号,否
300174.SZ,元力股份,22.92,20.00%,阳线||多头排列||布林带上轨||MA5上穿MA10,多头排列,74.81,71.98,70.38,66.59,79.12,70.38,61.64,上轨上方,2.76,1.55,2.41,无信号,是
300175.SZ,ST朗源,6.71,2.29%,阳线,观望,29.57,29.58,28.96,28.62,30.64,28.96,27.28,布林带内,0.37,0.3,0.15,无信号,否
300176.SZ,鸿特科技,6.39,1.91%,阳线||布林带下轨,观望,30.34,30.98,31.98,33.63,34.59,31.98,29.36,下轨下方,-0.97,-0.7,-0.53,无信号,否
300179.SZ,四方达,32.42,19.99%,阳线||MACD金叉||多头排列||布林带上轨||MA5上穿MA10,MACD金叉;多头排列,186.2,181.33,179.62,159.09,195.24,179.62,163.99,上轨上方,8.01,7.83,0.35,金叉,是
300180.SZ,华峰超纤,4.84,1.04%,阳线||布林带下轨,观望,32.19,34.41,35.9,41.33,42.68,35.9,29.11,下轨下方,-2.66,-1.8,-1.72,无信号,否
300183.SZ,东软载波,12.94,1.89%,阳线||布林带下轨,观望,68.76,70.41,71.34,76.22,78.69,71.34,63.99,下轨下方,-2.16,-1.64,-1.06,无信号,否
300184.SZ,力源信息,14.68,3.82%,阳线||布林带下轨,观望,111.28,115.75,114.28,99.45,138.25,114.28,90.31,下轨下方,1.57,5.38,-7.62,无信号,否
300185.SZ,通裕重工,2.95,0.34%,价升||布林带下轨,观望,25.9,26.88,27.09,28.39,29.09,27.09,25.09,下轨下方,-0.64,-0.37,-0.54,无信号,否
300187.SZ,永清环保,5.98,2.93%,阳线,观望,58.55,58.87,57.36,55.52,63.71,57.36,51.01,布林带内,1.09,1.38,-0.59,死叉,否
300189.SZ,神农种业,5.41,3.05%,阳线,观望,35.69,37.32,38.71,45.09,43.26,38.71,34.15,布林带内,-2.24,-1.98,-0.51,无信号,否
300190.SZ,维尔利,4.54,2.95%,阳线||MA5上穿MA10,观望,53.26,52.89,51.4,51.86,55.87,51.4,46.93,布林带内,0.59,0.54,0.1,无信号,否
300191.SZ,潜能恒信,38.29,2.96%,阳线||MA5上穿MA10,观望,156.81,153.37,160.35,162.92,182.93,160.35,137.77,布林带内,-1.47,-1.06,-0.83,无信号,否
300192.SZ,科德教育,18.31,2.58%,阳线||布林带下轨,观望,65.69,67.49,68.34,67.92,73.08,68.34,63.6,下轨下方,-0.88,-0.08,-1.6,无信号,否
300193.SZ,佳士科技,8.35,1.83%,阳线||布林带下轨,观望,24.15,25.02,25.46,26.07,28.19,25.46,22.72,下轨下方,-0.6,-0.17,-0.87,无信号,否
300194.SZ,福安药业,3.92,0.77%,阳线||布林带下轨,观望,26.47,27.03,27.47,28.13,29.13,27.47,25.82,下轨下方,-0.54,-0.3,-0.49,无信号,否
300195.SZ,长荣股份,6.6,2.33%,阳线||布林带下轨,观望,24.7,25.19,25.95,28.34,28.54,25.95,23.37,下轨下方,-1.0,-0.78,-0.44,无信号,否
300196.SZ,长海股份,19.93,7.21%,阳线,观望,,,,,,,,,,,,,
300197.SZ,节能铁汉,1.59,2.58%,阳线||布林带下轨,观望,53.78,55.34,55.77,59.18,59.65,55.77,51.9,下轨下方,-1.33,-0.91,-0.85,无信号,否
300198.SZ,*ST纳川,2.37,2.16%,阳线,观望,24.65,24.94,25.39,26.83,26.65,25.39,24.13,布林带内,-0.59,-0.51,-0.16,无信号,否
300199.SZ,翰宇药业,24.55,7.91%,阳线||多头排列||布林带上轨||MA5上穿MA10,多头排列,195.03,186.96,181.29,163.88,203.72,181.29,158.86,上轨上方,7.58,5.9,3.35,无信号,是
300200.SZ,高盟新材,10.53,1.64%,阳线||布林带下轨,观望,37.63,39.27,39.18,39.76,46.84,39.18,31.52,下轨下方,-0.69,0.29,-1.96,死叉,否
300201.SZ,海伦哲,18.34,12.10%,阳线||多头排列||布林带上轨||MA5上穿MA10,多头排列,178.34,164.18,145.86,124.49,190.66,145.86,101.05,上轨上方,15.96,11.4,9.11,无信号,是
300206.SZ,理邦仪器,13.78,1.03%,阳线,观望,,,,,,,,,,,,,
300207.SZ,欣旺达,24.49,0.57%,价升,观望,168.17,172.42,179.82,180.18,199.28,179.82,160.35,布林带内,-4.77,-2.75,-4.04,无信号,否
300209.SZ,行云科技,30.9,11.47%,阳线||多头排列||MA5上穿MA10,多头排列,105.65,102.7,84.59,55.18,128.61,84.59,40.56,布林带内,14.58,14.34,0.5,无信号,是
300210.SZ,森远股份,12.08,1.60%,价升||多头排列||MA5上穿MA10,多头排列,71.06,68.5,63.13,57.07,76.97,63.13,49.28,布林带内,4.37,3.5,1.73,无信号,是
300211.SZ,*ST亿通,9.15,5.54%,阳线,观望,57.25,58.17,57.25,55.07,60.66,57.25,53.83,布林带内,0.89,1.1,-0.42,无信号,否
300213.SZ,佳讯飞鸿,8.11,2.14%,阳线,观望,52.59,53.53,53.01,53.12,56.85,53.01,49.17,布林带内,0.06,0.42,-0.72,无信号,否
300214.SZ,日科化学,8.41,3.70%,阳线,观望,28.04,29.1,28.26,26.03,31.72,28.26,24.8,布林带内,0.64,1.0,-0.71,无信号,否
300215.SZ,电科院,9.07,1.80%,阳线,观望,159.99,162.32,158.72,161.08,170.7,158.72,146.73,布林带内,1.38,1.68,-0.61,死叉,否
300217.SZ,东方电热,5.53,2.98%,阳线,观望,70.77,71.09,69.59,70.41,73.35,69.59,65.83,布林带内,0.42,0.28,0.29,无信号,否
300218.SZ,安利股份,14.39,1.41%,阳线||布林带下轨,观望,31.84,32.38,32.66,34.35,34.58,32.66,30.74,下轨下方,-0.6,-0.42,-0.36,无信号,否
300219.SZ,鸿利智汇,8.43,2.31%,阳线||多头排列||MA5上穿MA10,多头排列,44.13,43.91,42.87,42.4,45.69,42.87,40.05,布林带内,0.68,0.6,0.16,无信号,是
300220.SZ,金运激光,14.16,3.36%,阳线||布林带下轨,观望,59.78,61.51,61.96,62.56,67.73,61.96,56.19,下轨下方,-0.92,-0.01,-1.82,无信号,否
300221.SZ,银禧科技,13.38,14.65%,阳线||多头排列||布林带上轨||MA5上穿MA10,多头排列,51.35,50.39,48.57,45.14,54.0,48.57,43.15,上轨上方,2.03,1.64,0.79,无信号,是
300222.SZ,科大智能,14.14,0.43%,价升,观望,,,,,,,,,,,,,
300223.SZ,北京君正,138.4,5.88%,阳线,观望,,,,,,,,,,,,,
300224.SZ,正海磁材,13.13,3.06%,阳线,观望,,,,,,,,,,,,,
300225.SZ,*ST金泰,8.53,4.28%,阳线||多头排列||布林带上轨||MA5上穿MA10,多头排列,60.27,56.81,53.4,45.5,63.35,53.4,43.45,上轨上方,4.44,3.3,2.28,无信号,是
300226.SZ,上海钢联,24.15,1.51%,阳线||布林带下轨,观望,176.82,189.94,192.88,204.88,240.33,192.88,145.43,下轨下方,-9.42,-2.7,-13.44,无信号,否
300227.SZ,光韵达,10.91,1.30%,价升||布林带下轨,观望,56.09,60.26,61.48,64.72,75.41,61.48,47.54,下轨下方,-3.03,-1.0,-4.06,无信号,否
300228.SZ,富瑞特装,9.24,2.10%,阳线,观望,,,,,,,,,,,,,
300229.SZ,拓尔思,18.37,0.66%,阳线||布林带下轨,观望,92.12,95.88,96.23,100.09,112.55,96.23,79.91,下轨下方,-2.67,-0.55,-4.25,死叉,否
300230.SZ,永利股份,5.12,4.28%,阳线||布林带下轨,观望,35.45,36.05,35.89,36.04,38.42,35.89,33.37,下轨下方,-0.13,0.2,-0.66,无信号,否
300231.SZ,银信科技,10.96,2.05%,阳线||布林带下轨,观望,117.49,118.84,118.96,121.0,128.13,118.96,109.79,下轨下方,-1.35,-0.42,-1.86,死叉,否
300232.SZ,洲明科技,6.29,1.62%,价升||布林带下轨,观望,60.85,62.69,63.7,71.12,70.35,63.7,57.05,下轨下方,-2.78,-2.09,-1.37,死叉,否
300234.SZ,开尔新材,7.59,6.01%,阳线||布林带下轨,观望,41.39,44.29,42.38,39.05,52.56,42.38,32.19,下轨下方,0.35,1.71,-2.72,无信号,否
300237.SZ,ST美晨,2.42,0.41%,阳线||MA5上穿MA10,观望,42.11,41.52,40.75,41.29,42.93,40.75,38.56,布林带内,0.33,0.17,0.32,无信号,否
300238.SZ,冠昊生物,12.89,1.58%,阳线,观望,53.21,55.16,57.1,61.12,62.57,57.1,51.64,布林带内,-2.28,-1.79,-0.98,无信号,否
300239.SZ,东宝生物,5.25,1.94%,阳线||布林带下轨,观望,28.99,29.53,29.84,30.64,31.31,29.84,28.37,下轨下方,-0.39,-0.22,-0.36,无信号,否
300240.SZ,飞力达,6.45,1.57%,价升,观望,23.47,23.85,24.18,25.59,25.55,24.18,22.82,布林带内,-0.52,-0.41,-0.23,无信号,否
