代码,名称,收盘价,涨跌幅,技术形态,买入信号,MA5,MA10,MA20,MA60,布林带上轨,布林线中轨,布林线下轨,布林带位置,MACD_DIF,MACD_DEA,MACD柱,MACD信号,多头排列
000151.SZ,中成股份,11.57,1.31%,阳线||布林带下轨,观望,28.68,29.42,29.19,30.17,32.53,29.19,25.85,下轨下方,-0.43,-0.05,-0.77,死叉,否
000153.SZ,丰原药业,6.0,1.01%,阳线||布林带下轨,观望,45.33,48.85,50.88,53.11,63.41,50.88,38.36,下轨下方,-2.97,-1.06,-3.82,无信号,否
000157.SZ,中联重科,7.3,0.41%,价升||布林带下轨,观望,498.45,526.55,545.02,587.54,629.53,545.02,460.51,下轨下方,-27.14,-15.59,-23.1,无信号,否
000158.SZ,常山北明,15.45,0.19%,阳线||布林带下轨,观望,42.3,44.9,46.96,49.99,54.55,46.96,39.37,下轨下方,-2.24,-1.14,-2.19,无信号,否
000159.SZ,国际实业,7.09,4.26%,阳线||布林带下轨,观望,21.43,21.51,21.61,21.89,24.9,21.61,18.33,下轨下方,-0.24,0.08,-0.65,死叉,否
000338.SZ,潍柴动力,34.01,5.36%,阳线||MACD金叉,MACD金叉,585.4,587.14,566.08,499.23,637.75,566.08,494.41,布林带内,28.04,27.97,0.14,金叉,否
000401.SZ,金隅冀东,3.98,0.51%,价升||布林带下轨,观望,20.04,21.41,22.48,24.18,27.81,22.48,17.14,下轨下方,-1.45,-0.72,-1.45,无信号,否
000402.SZ,金 融 街,2.93,2.09%,阳线||布林带下轨,观望,140.96,150.3,152.57,150.34,187.39,152.57,117.76,下轨下方,-4.56,0.84,-10.81,无信号,否
000408.SZ,藏格矿业,80.96,3.54%,阳线,观望,,,,,,,,,,,,,
000409.SZ,云鼎科技,9.55,0.53%,阳线,观望,20.96,21.33,21.78,22.89,23.14,21.78,20.43,布林带内,-0.55,-0.43,-0.24,无信号,否
000410.SZ,沈阳机床,5.8,0.87%,阳线||布林带下轨,观望,17.68,18.68,19.58,21.73,23.29,19.58,15.88,下轨下方,-1.22,-0.76,-0.91,无信号,否
000411.SZ,英特集团,12.12,1.76%,阳线||布林带下轨,观望,36.76,37.85,37.16,37.65,44.1,37.16,30.22,下轨下方,-0.51,0.21,-1.43,死叉,否
000417.SZ,合百集团,10.24,9.99%,阳线||多头排列||MA5上穿MA10,多头排列,158.9,149.74,140.54,138.73,170.32,140.54,110.76,布林带内,5.95,4.2,3.51,无信号,是
000419.SZ,通程控股,5.33,0.19%,价升||布林带下轨,观望,77.72,81.98,84.8,89.65,99.88,84.8,69.72,下轨下方,-4.07,-1.85,-4.44,无信号,否
000420.SZ,吉林化纤,4.8,2.78%,阳线||布林带下轨,观望,30.18,32.5,33.43,31.82,39.21,33.43,27.66,下轨下方,-0.91,0.22,-2.25,无信号,否
000421.SZ,南京公用,6.07,1.17%,阳线||布林带下轨,观望,50.84,52.96,53.86,57.15,62.71,53.86,45.01,下轨下方,-1.97,-0.81,-2.33,死叉,否
000425.SZ,徐工机械,9.65,0.84%,阳线||布林带下轨,观望,360.72,389.63,395.36,422.57,459.24,395.36,331.47,下轨下方,-16.59,-7.41,-18.35,无信号,否
000426.SZ,兴业银锡,41.47,4.04%,阳线,观望,950.79,1018.52,999.19,1010.45,1159.7,999.19,838.69,布林带内,-2.23,7.76,-19.98,无信号,否
000429.SZ,粤高速Ａ,13.29,0.38%,阳线||布林带下轨,观望,38.85,39.47,39.33,39.14,42.17,39.33,36.5,下轨下方,-0.24,0.1,-0.69,死叉,否
000504.SZ,*ST生物,9.49,2.59%,阳线||布林带下轨,观望,25.64,26.1,26.59,27.31,28.73,26.59,24.44,下轨下方,-0.64,-0.41,-0.47,无信号,否
000505.SZ,京粮控股,6.23,1.14%,阳线||布林带下轨,观望,31.36,33.27,33.17,34.76,37.27,33.17,29.08,下轨下方,-0.92,-0.33,-1.18,无信号,否
000506.SZ,招金黄金,14.2,1.79%,阳线||布林带下轨,观望,41.76,45.97,49.05,55.1,60.54,49.05,37.55,下轨下方,-3.94,-2.37,-3.13,无信号,否
000507.SZ,珠海港,5.21,0.39%,阳线||布林带下轨,观望,29.49,30.53,30.97,32.65,35.64,30.97,26.3,下轨下方,-1.07,-0.47,-1.18,死叉,否
000509.SZ,华塑控股,3.92,3.16%,阳线||布林带下轨,观望,36.65,39.79,39.8,41.66,54.12,39.8,25.47,下轨下方,-2.08,-0.2,-3.76,死叉,否
000510.SZ,新金路,14.94,10.01%,阳线||布林带下轨,观望,179.37,199.15,199.9,219.47,245.18,199.9,154.62,下轨下方,-8.85,-3.4,-10.89,无信号,否
000514.SZ,渝 开 发,4.5,1.12%,价升||布林带下轨,观望,27.12,28.22,28.51,28.55,31.18,28.51,25.85,下轨下方,-0.46,-0.02,-0.88,无信号,否
000517.SZ,荣安地产,1.89,2.72%,阳线||布林带下轨,观望,31.03,32.71,33.06,33.74,38.46,33.06,27.66,下轨下方,-0.98,-0.15,-1.66,无信号,否
000518.SZ,四环生物,4.13,10.13%,阳线||多头排列||布林带上轨||MA5上穿MA10,多头排列,28.57,27.12,25.8,24.73,29.85,25.8,21.75,上轨上方,1.22,0.64,1.16,无信号,是
000519.SZ,中兵红箭,17.91,6.48%,阳线||布林带下轨,观望,128.7,135.49,137.54,141.44,157.98,137.54,117.1,下轨下方,-4.01,-0.74,-6.55,无信号,否
000523.SZ,红棉股份,3.25,0.93%,阳线||布林带下轨,观望,23.21,23.44,23.38,24.1,24.86,23.38,21.91,下轨下方,-0.16,-0.03,-0.26,无信号,否
000528.SZ,柳    工,9.16,0.77%,阳线||布林带下轨,观望,94.16,99.32,102.28,105.93,118.27,102.28,86.29,下轨下方,-3.79,-1.34,-4.91,无信号,否
000530.SZ,冰山冷热,5.74,1.23%,阳线||布林带下轨,观望,47.0,48.63,49.04,50.74,53.99,49.04,44.09,下轨下方,-1.13,-0.42,-1.42,无信号,否
000531.SZ,穗恒运Ａ,7.03,0.86%,阳线||布林带下轨,观望,82.32,84.89,85.66,85.32,96.56,85.66,74.75,下轨下方,-1.41,0.27,-3.35,无信号,否
000532.SZ,华金资本,13.64,10.00%,阳线||布林带下轨,观望,54.44,56.41,58.96,64.42,70.03,58.96,47.88,下轨下方,-3.28,-2.1,-2.38,死叉,否
000533.SZ,顺钠股份,12.32,1.73%,阳线,观望,25.79,26.84,27.12,29.44,30.68,27.12,23.56,布林带内,-1.04,-0.78,-0.52,无信号,否
000534.SZ,万泽股份,35.91,0.42%,价升||布林带下轨,观望,120.0,125.2,132.77,136.02,156.81,132.77,108.74,下轨下方,-6.18,-2.79,-6.78,无信号,否
000536.SZ,华映科技,4.38,2.10%,阳线||布林带下轨,观望,13.71,14.1,14.31,15.33,16.26,14.31,12.35,下轨下方,-0.49,-0.3,-0.4,死叉,否
000537.SZ,绿发电力,10.26,0.69%,阳线||布林带下轨,观望,58.09,61.47,62.27,61.66,75.84,62.27,48.71,下轨下方,-1.82,0.21,-4.07,无信号,否
000539.SZ,粤电力Ａ,6.53,1.40%,阳线,观望,86.6,89.18,88.83,81.02,94.93,88.83,82.73,布林带内,1.38,2.39,-2.03,无信号,否
000541.SZ,佛山照明,5.18,1.37%,阳线,观望,112.01,113.64,115.17,117.71,119.72,115.17,110.61,布林带内,-1.34,-1.04,-0.6,无信号,否
