日期,代码,名称,收盘价,涨跌幅,趋势,热度,热度排名,大单净额,量比,换手率,成交额,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量,量增幅度
2026-05-19,603191.SH,望变电气,22.18,10.019841269841267,开,0,0,0,0,75436.0,34.57亿,73.19万,0,0,0,阳线||放量||价升||量涨,行情收盘价上穿5日,未分类,未分类,0,156.29536809793208
2026-05-19,603195.SH,公牛集团,42.85,0.1402196774947471,开,0,0,0,0,22707.0,5.30亿,771.58万,0,0,0,阳线||放量||价升||量涨,行情收盘价上穿5日,未分类,未分类,0,37.677996050306625
