日期,代码,名称,市场板块,收盘价,涨跌幅,趋势,热度,热度排名,大单净额,量比,换手率,成交额,成交量(手),昨日成交量(手),成交量对比,量能状态,总市值,诊股综合评分,技术面评分,资金面评分,技术形态,买入信号,同花顺行业,最相关概念,所属概念数量
2026-05-22,300645.SZ,正元智慧,创业板,15.07,0.07%,开,121362,2176,0万元,0.71,2103.0,1.39亿,13922,39402,-64.67%,缩量,21.00万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301355.SZ,南王科技,创业板,12.01,0.67%,开,121272,2177,0万元,0.71,1792.0,1.49亿,14929,42024,-64.48%,缩量,12.04万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300891.SZ,惠云钛业,创业板,7.85,0.51%,开,121230,2178,0万元,0.63,1867.0,2.39亿,23937,75595,-68.34%,缩量,26.18万,5.6,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300388.SZ,节能国祯,创业板,7.95,0.51%,开,121188,2179,0万元,0.56,1866.0,2.35亿,23546,84027,-71.98%,缩量,54.14万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600579.SH,中化装备,沪市主板,6.91,0.88%,开,121129,2180,0万元,0.69,1675.0,2.42亿,24248,70182,-65.45%,缩量,34.11万,5.6,6.0,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600280.SH,中央商场,沪市主板,2.86,0.70%,开,120971,2181,0万元,0.84,1745.0,6.10亿,61020,145698,-58.12%,缩量,32.27万,5.6,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600689.SH,上海三毛,沪市主板,12.63,0.64%,开,120847,2182,0万元,0.72,1766.0,1.41亿,14051,39224,-64.18%,缩量,19.22万,5.6,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603855.SH,华荣股份,沪市主板,19.04,0.16%,开,120779,2183,0万元,0.55,1999.0,1.05亿,10507,37912,-72.29%,缩量,63.89万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002762.SZ,*ST金比,深市主板,9.0,2.16%,开,120773,2184,0万元,0.55,999.0,1.12亿,11175,40405,-72.34%,缩量,19.02万,5.7,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603713.SH,密尔克卫,沪市主板,51.45,0.45%,开,120755,2185,0万元,0.43,1851.0,3602.00万,3602,16718,-78.45%,缩量,81.36万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,605398.SH,新炬网络,沪市主板,25.22,0.20%,开,120753,2186,0万元,0.56,1976.0,7805.00万,7805,27699,-71.82%,缩量,41.04万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,603700.SH,宁水集团,沪市主板,11.94,0.84%,开,120672,2187,0万元,0.72,1645.0,1.38亿,13810,38101,-63.75%,缩量,23.88万,5.6,6.0,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300717.SZ,华信新材,创业板,20.39,0.89%,开,120653,2188,0万元,0.67,1620.0,7921.00万,7921,23664,-66.53%,缩量,20.77万,5.6,6.0,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,688718.SH,唯赛勃,科创板,17.21,1.24%,开,120616,2189,0万元,0.45,1444.0,83.98亿,839773,3745286,-77.58%,缩量,29.90万,5.6,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301359.SZ,东南电子,创业板,22.93,1.33%,开,120478,2190,0万元,0.6,1385.0,6073.00万,6073,20383,-70.21%,缩量,16.31万,5.6,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,300743.SZ,天地数码,创业板,18.63,0.16%,开,120436,2191,0万元,0.61,1963.0,1.05亿,10505,34617,-69.65%,缩量,23.74万,5.5,6.0,4.0,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301581.SZ,黄山谷捷,创业板,48.3,0.94%,开,120432,2192,0万元,0.58,1573.0,3251.00万,3251,11274,-71.16%,缩量,20.43万,5.6,6.0,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,301083.SZ,百胜智能,创业板,16.55,1.04%,开,120429,2193,0万元,0.59,1524.0,9223.00万,9223,31072,-70.32%,缩量,14.17万,5.6,6.1,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,600319.SH,亚星化学,沪市主板,7.75,1.31%,开,120395,2194,0万元,0.6,1386.0,1.80亿,18033,60068,-69.98%,缩量,30.05万,5.6,6.1,4.1,价升||阳线,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002672.SZ,东江环保,深市主板,3.84,0.79%,开,120337,2195,0万元,0.76,1640.0,4.28亿,42823,113020,-62.11%,缩量,34.76万,5.6,6.0,4.1,价升,行情收盘价上穿5日,未分类,未分类,10
2026-05-22,002687.SZ,乔治白,深市主板,4.57,0.22%,开,120336,2196,0万元,0.66,1924.0,4.20亿,42016,126613,-66.82%,缩量,18.89万,5.5,6.0,4.0,价升,行情收盘价上穿5日,未分类,未分类,10
